"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","549","Login with correct email and password","Authentication","Wed Sep 24 10:23:13 UTC 2025","passed","Wed Sep 24 10:23:13 UTC 2025","Login","LMS service","",""
"","17","Create file","Files","Wed Sep 24 10:23:19 UTC 2025","passed","Wed Sep 24 10:23:19 UTC 2025","Create entity","LMS service","",""
"","29","Get courses","Courses","Wed Sep 24 10:23:15 UTC 2025","passed","Wed Sep 24 10:23:15 UTC 2025","Get entities","LMS service","",""
"","291","Delete file","Files","Wed Sep 24 10:23:21 UTC 2025","passed","Wed Sep 24 10:23:21 UTC 2025","Delete entity","LMS service","",""
"","17","Create file with empty filename","Files","Wed Sep 24 10:23:20 UTC 2025","passed","Wed Sep 24 10:23:20 UTC 2025","Validate entity","LMS service","",""
"","287","Get exercises","LMS service","Wed Sep 24 10:23:18 UTC 2025","passed","Wed Sep 24 10:23:19 UTC 2025","Get entities","Exercises","",""
"","29","Update course","Courses","Wed Sep 24 10:23:13 UTC 2025","passed","Wed Sep 24 10:23:13 UTC 2025","Update entity","LMS service","",""
"","290","Update exercise","LMS service","Wed Sep 24 10:23:16 UTC 2025","passed","Wed Sep 24 10:23:16 UTC 2025","Update entity","Exercises","",""
"","288","Delete exercise","LMS service","Wed Sep 24 10:23:17 UTC 2025","passed","Wed Sep 24 10:23:17 UTC 2025","Delete entity","Exercises","",""
"","12","Get file","Files","Wed Sep 24 10:23:20 UTC 2025","passed","Wed Sep 24 10:23:20 UTC 2025","Get entity","LMS service","",""
"","285","Create exercise","LMS service","Wed Sep 24 10:23:16 UTC 2025","passed","Wed Sep 24 10:23:16 UTC 2025","Create entity","Exercises","",""
"","279","Updating an access token using a refresh token","Authentication","Wed Sep 24 10:23:14 UTC 2025","passed","Wed Sep 24 10:23:14 UTC 2025","Validate entity","LMS service","",""
"","28","Create course","Courses","Wed Sep 24 10:23:15 UTC 2025","passed","Wed Sep 24 10:23:15 UTC 2025","Create entity","LMS service","",""
"","261","Create file with empty directory","Files","Wed Sep 24 10:23:21 UTC 2025","passed","Wed Sep 24 10:23:21 UTC 2025","Validate entity","LMS service","",""
"","258","Get file with incorrect file id","Files","Wed Sep 24 10:23:22 UTC 2025","passed","Wed Sep 24 10:23:22 UTC 2025","Validate entity","LMS service","",""
"","15","Get exercise","LMS service","Wed Sep 24 10:23:18 UTC 2025","passed","Wed Sep 24 10:23:18 UTC 2025","Get entity","Exercises","",""
"","559","Create user","Users","Wed Sep 24 10:23:22 UTC 2025","passed","Wed Sep 24 10:23:22 UTC 2025","Create entity","LMS service","",""
"","556","Create user","Users","Wed Sep 24 10:23:21 UTC 2025","passed","Wed Sep 24 10:23:22 UTC 2025","Create entity","LMS service","",""
"","11","Get user me","Users","Wed Sep 24 10:23:23 UTC 2025","passed","Wed Sep 24 10:23:23 UTC 2025","Get entity","LMS service","",""
"","286","Create user","Users","Wed Sep 24 10:23:22 UTC 2025","passed","Wed Sep 24 10:23:22 UTC 2025","Create entity","LMS service","",""
