"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","558","Create user","Users","Wed Sep 24 10:01:24 UTC 2025","passed","Wed Sep 24 10:01:24 UTC 2025","Create entity","LMS service","",""
"","27","Get courses","Courses","Wed Sep 24 10:01:16 UTC 2025","passed","Wed Sep 24 10:01:17 UTC 2025","Get entities","LMS service","",""
"","17","Get exercise","LMS service","Wed Sep 24 10:01:20 UTC 2025","passed","Wed Sep 24 10:01:20 UTC 2025","Get entity","Exercises","",""
"","258","Get file with incorrect file id","Files","Wed Sep 24 10:01:23 UTC 2025","passed","Wed Sep 24 10:01:24 UTC 2025","Validate entity","LMS service","",""
"","286","Create exercise","LMS service","Wed Sep 24 10:01:18 UTC 2025","passed","Wed Sep 24 10:01:18 UTC 2025","Create entity","Exercises","",""
"","280","Updating an access token using a refresh token","Authentication","Wed Sep 24 10:01:16 UTC 2025","passed","Wed Sep 24 10:01:16 UTC 2025","Validate entity","LMS service","",""
"","13","Get user me","Users","Wed Sep 24 10:01:25 UTC 2025","passed","Wed Sep 24 10:01:25 UTC 2025","Get entity","LMS service","",""
"","16","Create file with empty filename","Files","Wed Sep 24 10:01:22 UTC 2025","passed","Wed Sep 24 10:01:22 UTC 2025","Validate entity","LMS service","",""
"","288","Get exercises","LMS service","Wed Sep 24 10:01:20 UTC 2025","passed","Wed Sep 24 10:01:20 UTC 2025","Get entities","Exercises","",""
"","289","Update exercise","LMS service","Wed Sep 24 10:01:18 UTC 2025","passed","Wed Sep 24 10:01:18 UTC 2025","Update entity","Exercises","",""
"","550","Create user","Users","Wed Sep 24 10:01:23 UTC 2025","passed","Wed Sep 24 10:01:24 UTC 2025","Create entity","LMS service","",""
"","265","Create file with empty directory","Files","Wed Sep 24 10:01:22 UTC 2025","passed","Wed Sep 24 10:01:23 UTC 2025","Validate entity","LMS service","",""
"","31","Update course","Courses","Wed Sep 24 10:01:15 UTC 2025","passed","Wed Sep 24 10:01:15 UTC 2025","Update entity","LMS service","",""
"","28","Create course","Courses","Wed Sep 24 10:01:17 UTC 2025","passed","Wed Sep 24 10:01:17 UTC 2025","Create entity","LMS service","",""
"","297","Delete file","Files","Wed Sep 24 10:01:23 UTC 2025","passed","Wed Sep 24 10:01:23 UTC 2025","Delete entity","LMS service","",""
"","291","Delete exercise","LMS service","Wed Sep 24 10:01:19 UTC 2025","passed","Wed Sep 24 10:01:19 UTC 2025","Delete entity","Exercises","",""
"","20","Get file","Files","Wed Sep 24 10:01:22 UTC 2025","passed","Wed Sep 24 10:01:22 UTC 2025","Get entity","LMS service","",""
"","555","Login with correct email and password","Authentication","Wed Sep 24 10:01:14 UTC 2025","passed","Wed Sep 24 10:01:15 UTC 2025","Login","LMS service","",""
"","558","Create user","Users","Wed Sep 24 10:01:24 UTC 2025","passed","Wed Sep 24 10:01:24 UTC 2025","Create entity","LMS service","",""
"","17","Create file","Files","Wed Sep 24 10:01:20 UTC 2025","passed","Wed Sep 24 10:01:20 UTC 2025","Create entity","LMS service","",""
